id,datetime,location,text,rating,accessibility,facility,activity,english_translation,aspects,sentiment,real_aspect
85570ab66a34416bad6388f2653e46e6,2022-08-23 18:34:10,Orchid Forest Cikole,"Udaranya sweger,bersih...Cocok buat rekreasi sekeluarga, banyak spot selfienya, apalagi menjelang malam  bagus lampu warna warninya....",5,neutral,neutral,positive,"The air is fresh, clean... Suitable for family recreation, lots of selfie spots, especially towards evening the colorful lights are beautiful....","air, place, photo, light","positive, positive, positive, positive","air, recreation, selfie, lights"
dc9bea22fab34ce9b876d52e7da50c3c,2020-02-15 13:48:40,Curug Maribaya,you can enjoy your holiday here. Banyak spot menarik untuk foto dan bermain bersama anak. Bisa juga untuk acara family gathering kantor,5,neutral,neutral,positive,You can enjoy your holiday here. Many interesting spots for photos and playing with children. It can also be used for office family gatherings.,"spot, photo, crowd","positive, positive, neutral","spots, photos, children"
882d0cfb8ae54dfd9d4642839a685f50,2020-02-15 13:28:43,Stone Garden,"Seperti berada di puncak gunung.  Keren dah
Parkir 5000, tiket masuk per orang 8000. Bayar tiket dulu di bawah baru bayar parkir diatas",5,neutral,neutral,positive,"Like being on top of a mountain. It's cool.
Parking 5000, entrance ticket per person 8000. Pay for tickets first downstairs, then pay for parking upstairs.","mountain, parking, ticket, entrance, ticket, parking","positive, negative, negative, negative, negative, negative","mountain, parking, ticket, entrance, ticket, parking"
80d73d5e7b1a46d08c10a6df8839f3c0,2022-10-23 17:57:24,Floating Market Lembang,"Kereenn banget, buat seharian main juga kagak bosenin mantuls , makanannya juga ngangenin kampung halaman enak mantaps endes pisan👍👍👍 …",5,neutral,neutral,neutral,"Super cool, it's not boring even if you play all day, awesome. The food also makes you miss home, delicious, fantastic, really yummy 👍👍👍...",food,positive,food
f0e052f1756141e08e38c09e43c7e93b,2023-02-16 18:04:17,Gunung Tangkuban Parahu,"Alam yang menakjubkan tapi harga nya sangat mahal setelah dikuasai swasta, tourist foreigner idr 300 000. Local tourist idr 20 000 only",5,neutral,negative,neutral,"An amazing place, but the price is very expensive after being controlled by private entities. Foreign tourists: IDR 300,000. Local tourists: IDR 20,000 only.","place, price","positive, negative","place, price"
29076442cebd4739a31417979112d1ea,2021-02-23 18:05:32,Gunung Tangkuban Parahu,"Tempat wisata yang sudah cukup terawat, rapi, bersih, juga pagar2 yg dipasang mengelilingi kawah, sudah cukup aman bagi para pengunjung",5,neutral,positive,neutral,"The tourist attraction is quite well-maintained, neat, clean, and the fences surrounding the crater are already safe enough for visitors.","attraction, maintenance, cleanliness, safety","positive, positive, positive, positive","attraction, maintained, clean, safe"
3bb86872d17940f3936d3b9eb4ccf79f,2021-02-15 14:13:22,Sanghyang Kenit,"
Tempat ini sangat tenang.. cocok untuk anda yang ingin menikmati alam.. hammocking di tepi sungai.. mendengarkan suara air di sungai..",5,neutral,neutral,neutral,This place is very peaceful.. suitable for those who want to enjoy nature.. hammocking by the river.. listening to the sound of the water in the river..,"peacefulness, place, nature, river, water","positive, positive, positive, positive, positive","peaceful, place, nature, river, water"
cae58ffab31a4d61b2640037f89f01bd,2022-02-23 18:04:18,Gunung Tangkuban Parahu,"Suasana alam yg tetap indah walaupun 2019 lalu sempat menyemburkan abu vulkaniknya, keindahan yg diberikan Sang Khaliq sungguh absolute",5,neutral,neutral,positive,The natural atmosphere remains beautiful even though it spewed its volcanic ash in 2019; the beauty given by the Creator is truly absolute.,"atmosphere, beauty, nature","positive, positive, positive","atmosphere, beauty, nature"
e25dba46fa974a04a2bf7433f1f3b347,2019-02-15 13:29:40,Stone Garden,"Harusnya ada larangan dilarang bawa makanan dari luar. Karna banyak gerombolan monyet putih, suka datang. Pengunjung tidak merasa aman.",5,neutral,neutral,neutral,There should be a ban on bringing food from outside. Because there are many groups of white monkeys that like to come. Visitors do not feel safe.,"food, crowd, safety","negative, positive, negative","food, monkeys, safe"
2cae6c331a9043ac9794592f77a32db7,2022-02-15 13:04:05,Taman Lembah DEWATA,"Lembah dewata, Cocok untuk piknik bawa keluarga, ada kantin, tempat bermain, berkuda, wc dan mushola. Sayangnya musholanya kurang luas.",5,neutral,neutral,positive,"Valley of the gods, Suitable for family picnics, has a canteen, playground, horse riding, restrooms, and a prayer room. Unfortunately, the prayer room is not very spacious.","place, facility, facility, facility, facility, restroom, facility","positive, positive, positive, positive, positive, negative, neutral","Valley, canteen, playground, horse riding, restrooms, prayer room, prayer room"
79bb44cdd63b4f3083d6e60feb4e3adb,2020-02-23 17:58:27,Floating Market Lembang,"Lingkungan yang asri, cocok buat healing dari rutinitas kota yang padat. Makanan yang dijual cukup variatif meski lebih banyak jajanan.",5,neutral,neutral,positive,"A beautiful environment, perfect for healing from the dense city routine. The food sold is quite varied, although mostly snacks.","atmosphere, food","positive, neutral","environment, food"
5f2386d1ffeb4bc387e6b0cd1573407d,2020-02-15 12:57:29,Kebun Begonia Lembang,"Tmpt nya nyaman,bersih,pemandangannya pun bgs,anak"" senang bgt & ada spot"" yg disukai anak"".
Tmpt nya sejuk Krn berada ddataran tinggi.",5,neutral,neutral,positive,"The place is comfortable, clean, and the view is also good. The kids were very happy and there are spots they liked.
The place is cool because it's located on a plateau.","place, cleanliness, view, crowd, spot, location","positive, positive, positive, positive, positive, positive","place, clean, view, kids, spots, plateau"
