id,datetime,location,text,rating,accessibility,facility,activity,english_translation,aspects,sentiment,real_aspect
326e06f3f36143299a902d5737c85039,2021-02-15 14:09:07,Curug Cimahi / Curug Pelangi,Maksih ats kunjungan dan masukan ny..krmr sebelum hujan ka..munngkin ad sampah yg k bwa dr atas..maaf y ka,5,neutral,neutral,neutral,"Thank you for your visit and feedback. Yesterday, before the rain, maybe some trash was carried from upstream. I apologize.",,,
a7c69a9f1ddf48f9b8994c0cfbb9997d,2019-02-15 13:29:40,Stone Garden,Akses jalan gak bagus. Gak ada petunjuk jalan yg mudah dilihat. Terlalu komersil untuk kegiatan fotografi.,4,negative,neutral,neutral,The road access is not good. There are no easily visible signs. It's too commercial for photography activities.,"road, signage, atmosphere","negative, negative, negative","road, signs, photography"
0bd0ee38c20843eb8e8d66cac231ea0a,2022-10-15 13:28:46,Stone Garden,Mendapatkan spot foto yang unik dan menarik di tempat wisata geopark ini merupakan tantangan yang menarik.,5,neutral,neutral,positive,Getting a unique and interesting photo spot at this geopark tourist destination is an exciting challenge.,"photo, spot, attraction","positive, positive, positive","photo, spot, destination"
e003d0aeed4348299f6cb5721d38dca0,2022-04-23 18:04:26,Gunung Tangkuban Parahu,Gunung msh aktif tp viewnya bgs Dan para pedagang ramah2 bahkan membantu utk foto2.thx utk lang jajang dkk,5,neutral,neutral,positive,"The mountain is still active, but the view is good, and the vendors are friendly and even help with taking photos. Thanks to Lang Jajang and friends.","mountain, view, staff, photo","neutral, positive, positive, positive","mountain, view, vendors, photos"
eb51a7f42c124f2e8f32404ddefc9fae,2019-02-23 18:04:47,Gunung Tangkuban Parahu,"Tempat parkir luas,ada masjid. Kalo kesulitan mengambil foto banyak akang yang jualan disana siap membantu",4,neutral,positive,neutral,"Spacious parking lot, there is a mosque. If you have trouble taking photos, there are many friendly vendors there ready to help.","parking, architecture, photo, staff","positive, positive, positive, positive","parking, mosque, photos, vendors"
a98affbdaff04b79af1df513b2bd14e2,2020-02-15 13:05:12,Taman Lembah DEWATA,"Tempat bersantai dengan keluarga sambil menikmati taman, ada bebek air, sepeda, becak scooter untuk disewa",4,neutral,neutral,positive,"A place to relax with family while enjoying the garden, there are water ducks, bicycles, and scooter rickshaws for rent","place, garden, entertainment","positive, positive, positive","place, garden, bicycles"
5e998f81585a49afbb7dfd4511c356f7,2019-02-23 18:13:00,Ciwangun Indah Camp (CIC),lokasi outbond yang benar-benar alami di tengah bukit dan pepohonan tinggi. akses jalan masih kurang bagus,4,negative,neutral,neutral,A truly natural outbound location in the middle of hills and tall trees. Road access is still not good.,"nature, location, road","positive, positive, positive","natural, location, hills"
18c89fd08d914b54ba82954657d9e38b,2021-02-15 13:29:52,Stone Garden,"Buat yg mau ke stone Garden, kalau bisa pas pagi pagi, atau pas sore, karena kalau pas siang, panas banget",4,neutral,neutral,neutral,"For those who want to go to Stone Garden, if possible, go in the morning or in the afternoon, because during the day, it's very hot.","place, weather","positive, negative","Stone Garden, hot"
c2193fe317064e7fac25b6b803b287ee,2022-08-15 14:09:01,Curug Cimahi / Curug Pelangi,"Tempat nya bagus, tp balik ke atas nya capek banget,,disarankan pakek celana yang nyaman dan bawa minum...",5,neutral,neutral,positive,"The place is nice, but climbing back up is very tiring. It's recommended to wear comfortable pants and bring drinks.","place, walking, drink","positive, negative, positive","place, climbing, drinks"
1ec3cb24ecc043e680135280da110a75,2022-10-15 14:09:06,Curug Cimahi / Curug Pelangi,super indah kalo udh ada di bawah sejuk pikiran tenang apalagi sharing dan berbagi cerita bersama doi hehe,5,neutral,neutral,positive,"It's super beautiful when you're down there, it's cool, your mind is calm, especially when sharing and exchanging stories with your significant other, hehe.","beauty, peacefulness, atmosphere","positive, positive, positive","beautiful, calm, here"
