id,datetime,location,text,rating,accessibility,facility,activity,english_translation,aspects,sentiment,real_aspect
329035c589264b51b809d22c167d4c11,2022-02-23 17:57:22,Floating Market Lembang,"Taman'y bagus, saran ku kalo kesini jgn pas weekend / tgl merah. Karena utk menikmati taman di sini enak'y agak sepi pengunjung, kalo terlalu rame, sumpek & kurang menikmati utk foto².
Yg jual makanan banyak, sampe bingung mau jajan apa 😅",5,neutral,neutral,positive,"The park is nice, my suggestion is to not come here on weekends or public holidays. Because it's best to enjoy the park when it's less crowded, if it's too crowded, it's stuffy and less enjoyable for taking photos.
There are many food vendors, so many that you'll be confused about what to buy 😅","crowd, crowd, food, atmosphere","negative, negative, positive, negative","crowded, crowded, food, stuffy"
b740c0ca3a8a4545aa286f183c2b2953,2022-10-23 18:04:06,Gunung Tangkuban Parahu,"Kawah Ratu Tangkuban Parahu, tak hanya kaya akan keindahannya tetapi juga kaya akan mitos dan legenda nya. Lebih baik datang pagi hari saat sunrise buat dapat view yang indah, kalau siang hari akan panas sehingga sulit explore semua view.",5,neutral,neutral,positive,"Kawah Ratu Tangkuban Parahu is not only rich in beauty but also in myths and legends. It's better to come in the morning during sunrise for beautiful views, as it gets hot during the day, making it difficult to explore all the sights.",beauty,positive,beauty
82177250a5f541989e4f048292df60ec,2019-02-15 13:28:44,Stone Garden,"amazinggggggg!!!!! sukaaaa banget,,,batu nya eksotis lah,,,secara mereka bukan sembarang batu kan,,,kaya idup aja tuh batu,,,merka batu sejarah yg lamaaaaaa ketimbun  kena hujan panas ,,efek CO2 nya itu yg bikin mreeka gitu,,,aku suka!!!!",5,neutral,neutral,positive,"Amazinggggggg!!!!! I love it sooooo much,,, the stones are exotic,,, since they are not just any stones,,, the stones look alive,,, they are historical stones that have been buried for a looooong time exposed to rain and sun,,, the CO2 effect is what makes them like that,,, I love it!!!!","culture, history, nature, place","positive, positive, positive, positive","stones, stones, stones, it"
7afd6e8e795245b08a96f1ffb6759acf,2019-02-15 13:23:13,Gunung Putri Lembang,"Harga tiket masuk kalo buat maen doang cuma 7,5K tapi kalo ngecamp 17,5K. Parkirnya agak mahal 10K kalo buat camp. Jalan dari bawah/pos ke puncak atas itu sekitar 15menit.
Kalo udah di atas wagelaseh ada pohon pinus dan tugu atau monumen.",5,neutral,neutral,neutral,"The entrance fee for just playing is 7.5K, but for camping it's 17.5K. Parking is a bit expensive at 10K if you're camping. The walk from the bottom/post to the top peak takes about 15 minutes. Once you're at the top, wow, there are pine trees and a monument.","entrance, price, price, parking, walking, attraction, monument","neutral, neutral, neutral, neutral, neutral, positive, positive","entrance, fee, fee, parking, walk, monument, monument"
82bd5012ef8842de9d4ca87fb72e672a,2019-02-15 13:49:04,Curug Maribaya,Ini adalah tempat yang indah untuk menghabiskan waktu dan menikmati alam. Kamu dapat mencapai tempat ini menggunakan mobil langsung kesana atau via THR Juanda dimana kamu harus berjalan kaki terlebih dahulu dan menikmati lebih banyak spot,5,positive,neutral,positive,"This is a beautiful place to spend time and enjoy nature. You can reach this place by car directly, or via THR Juanda where you have to walk first and enjoy more spots.","place, nature, place, spot","positive, positive, positive, positive","place, nature, place, spots"
a4ab7b97b2f14d63b5491dd4729c14e5,2022-08-15 14:05:03,Curug Layung Camp Situ Lembang,"Tempatnya oke,
Tiket hanya 10K untuk hiking,20k untuk camping
Curugnya sendiri dr pintu masuk 15menit,
Area campingnya ada bbrpa lokasi.
Sayangnya aksesnya ke lokasi (dari dsn bambu ) sangat kurang bersahabat jalannya (rusaaaaak paraaaah)",3,negative,neutral,positive,"The place is okay.
Tickets are only 10K for hiking, 20K for camping.
The waterfall itself is 15 minutes from the entrance.
There are several locations for the camping area.
Unfortunately, the access to the location (from Dusun Bambu) is very unfriendly, the road is (terribly broken).","place, ticket, hiking, entrance, location, road","neutral, neutral, neutral, neutral, neutral, neutral","place, Tickets, hiking, camping, waterfall, entrance"
d3f2c1f661a84ab3b9c84541e527e5d7,2022-02-15 13:04:05,Taman Lembah DEWATA,"Tempatnya luas, keren, parkiran luas. Tapi sayang, Musholanya kecil dan kenapa Mushola menghadap toilet? Jadi kesannya kayak Musholanya di toilet. Semoga lekas diperbaiki, dan jika Mushola sudah diperbaiki, saya perbaiki pula rating saya.",4,neutral,negative,positive,"The place is spacious, cool, and has ample parking. But unfortunately, the prayer room is small, and why does the prayer room face the toilet? So it gives the impression that the prayer room is in the toilet. Hopefully, it will be fixed soon, and once the prayer room is fixed, I will improve my rating.","place, parking, restroom, restroom, management","positive, positive, negative, negative, positive","place, parking, prayer room, prayer room, fixed"
259652a364f94774b5cedc92d00e3348,2022-08-23 18:22:39,Terminal Wisata Grafika Cikole,"Untuk restoran standard service makan, rasanya hampir mirip dengan restoran transit atau resto tempat bus melakukan service makan. Untuk kamar mandi kurang banyak sehingga banyak antrian apabila ada banyak bus yang datang secara bersamaan",4,neutral,negative,neutral,"For a standard service restaurant, the taste is almost similar to a transit restaurant or a restaurant where buses stop for meals. For the restrooms, there aren't enough, leading to long queues when many buses arrive simultaneously.","service, food, restroom, crowd","neutral, negative, negative, negative","service, taste, restrooms, buses"
0ddca1656dcb4236989be6e472389942,2022-08-23 18:04:02,Gunung Tangkuban Parahu,"Dr parkiran ke atas harus naik kemdaraan seperti elf tp terbuka, stlh itu baru sampai kawasan kawah Ratu. Udara di sana lumayan dingin. Panas pas terik. Dateng pas hari libur kemaren jadi rame banget. Toilet dan jajanan jg banyak di sini.",5,positive,positive,neutral,"The parking lot upstairs requires riding an open-air vehicle like an elf, after which you will reach the Ratu Crater area. The air there is quite cold. Hot when it's sunny. It was very crowded because we came on a holiday. There are also many toilets and snacks here.","parking, air, weather, crowd, restroom, food","neutral, neutral, neutral, negative, positive, positive","parking, air, sunny, crowded, toilets, snacks"
54bc251ba4444f08bf1b3c2918b68fc6,2019-02-15 12:57:10,Kebun Begonia Lembang,"Tempatnya tidak terlalu luas, cocok buat temen-temen yang suka selfie dan swafoto. Jual bibit tanaman juga, tapi kalau mau yang murah di pinggirnya ada yang jualan bunga. Harga tiket 10k aja per orang. Kalau bawa kamera, harus bayar lagi.",5,neutral,neutral,positive,"The place isn't too spacious, perfect for friends who like to take selfies and group photos. They also sell plant seedlings, but if you want something cheap, there are flower sellers on the outskirts. The ticket price is only 10k per person. If you bring a camera, you have to pay extra.","spaciousness, photo, souvenir, price, ticket","negative, positive, positive, positive, neutral","spacious, photos, seedlings, price, ticket"
