id,datetime,location,text,rating,accessibility,facility,activity,english_translation,text_length,summary
7dfcc38ca2ad4d13a4b2aa93cc439a6e,2023-01-23 18:21:58,Terminal Wisata Grafika Cikole,Tempat yg sangat cocok untuk kembali ke alam.. harga terjangkau di tipe cemara dengan kapasitas 6 orang dan dapat sarapan buffet,5,neutral,positive,neutral,A very suitable place to return to nature.. affordable price for the cemara type with a capacity of 6 people and includes buffet breakfast,24,"This nature destination offers affordable group accommodation for up to six people, with an included buffet breakfast."
7e33fe36c7dd47d1a024922618523625,2020-02-15 14:05:02,Curug Layung Camp Situ Lembang,"Ini lokasi ngemping paling deket dari wilayah cimahi, tempatnya adem nyaman, asri, hutan pinus nya lebat, spot fotonya banyak, air terjunnya seger bisa dipake mandi atau sekedar maen air, untuk prewed juga bagus",5,neutral,neutral,positive,"This is the closest camping location to the Cimahi area, the place is cool, comfortable, beautiful, the pine forest is dense, there are many photo spots, the waterfall is refreshing and can be used for bathing or just playing in the water, it's also good for pre-weddings",47,"Conveniently located near the Cimahi area, this campsite features a dense pine forest and a waterfall suitable for bathing and water play. The site offers numerous photo spots, making it a popular location for activities like camping and pre-wedding photoshoots."
7f03d11c3a744532813d52dc02ebbe8c,2022-02-15 13:22:47,Gunung Putri Lembang,Gunung putri tempat yg indah untuk menikmati view kota dari tempat ketinggian. Jarak dari tempat parkir mobil ke puncak kira2 satu kilometer dengan elevasi 100. Ada warung kopi n indomie serta kamar mandi di dekat tempat parkir mobil. Nyaman dikunjungi saat sunrise n sunset,4,neutral,neutral,positive,"Gunung Putri is a beautiful place to enjoy city views from a high vantage point. The distance from the car park to the summit is approximately one kilometer with an elevation of 100 meters. There are coffee and Indomie stalls, as well as restrooms near the car park. It's a comfortable place to visit during sunrise and sunset.",58,"Gunung Putri offers scenic city views, particularly at sunrise and sunset, from a summit accessible via a one-kilometer walk with a 100-meter elevation gain from the car park. Basic facilities, including food stalls and restrooms, are available near the parking area."
81c91bd25e3f4f39afd23e08ef0edc86,2021-02-23 18:04:21,Gunung Tangkuban Parahu,Salah satu wisata alam yang menjadi andalan kota kembang ini cukup ramai dikunjungi wisatawan. Tersedia shuttle dari parkiran bawah menuju puncak. Atau yg membawa mobil pribadi bisa langsung parkir di puncak.,4,positive,positive,neutral,One of the natural attractions that is the mainstay of the flower city is quite crowded with tourists. A shuttle is available from the lower parking area to the summit. Or those who bring their private car can park directly at the summit.,43,"This popular natural attraction offers convenient access to its summit, providing a shuttle service from a lower parking area and also allowing visitors to drive private vehicles directly to a parking lot at the top."
828a1a9346ca47ddad5bef72ea323430,2022-02-23 18:04:02,Gunung Tangkuban Parahu,"Ma syaa Allah... takjub akan kebesaran Ciptaan Allah SWT. Skrg Masuknya harus pake scan vaksin.
Tiket 30.000 hari libur
tiket mobil 35.000
parkir 5.000
Alhamdulillah rapih bersih nyaman, para pedagang juga ramah² bs minta tolong juga untuk potoin pengunjung.
Seru banget .... enjoy.
👍👍",5,neutral,positive,positive,"Ma syaa Allah... amazed by the greatness of Allah SWT's Creation. Now entry requires a vaccination scan.
Ticket 30,000 on holidays
Car ticket 35,000
Parking 5,000
Alhamdulillah, neat, clean, comfortable, the vendors are also friendly, they can also be asked for help to take photos of visitors.
So much fun.... enjoy.
👍👍",52,"Access to this well-maintained and comfortable attraction requires a vaccination scan. The site provides parking and features friendly vendors who may assist with taking photos. Visitors should be aware of specific fees for holiday admission, vehicles, and parking."
848f424e2f144221950e18c478053feb,2022-07-23 17:57:16,Floating Market Lembang,"HTM 30rb/orang (usia 2 tahun ke atas diihitung tiket).. lumayan banyak tempat baru, sayangnya mayoritas harus bayar lagi klo masuk. Tempat sholat pria dan wanita sudah dipisah, sayangnya tempat wudhu masih jadi 1. Sebaiknya pengunjung kesini dilarang merokok.",4,neutral,neutral,neutral,"HTM 30k/person (ages 2 and up are charged for a ticket).. quite a lot of new places, unfortunately, the majority require additional payment for entry. The prayer areas for men and women are separated, unfortunately, the ablution areas are still combined. Visitors here should preferably be prohibited from smoking.",49,"This attraction charges an entrance fee for visitors aged two and older, with most new activities requiring additional payments. The site provides gender-separated prayer rooms, but their ablution facilities are shared, and the reviewer observed that smoking is permitted on the premises."
877d5fe0517d41bea0bf37eedcc96f7f,2020-02-15 13:49:18,Curug Maribaya,sayang curug dan sungainya banyak sampah.. ga seindah yang di bayangkan,3,neutral,negative,neutral,"sayang curug dan sungainya banyak sampah.. ga seindah yang di bayangkan
It's a shame the waterfalls and rivers are full of trash.. not as beautiful as imagined",27,"This attraction, featuring waterfalls and rivers, is reported to have a significant trash problem, which detracts from its natural beauty and the overall visitor experience."
8968125b77d64e2a81c4a34a239d7b46,2019-02-23 18:13:28,Ciwangun Indah Camp (CIC)," Nikmati semua pemandangan ini di camp ciwangun indah... Direkomendasikan untuk hiking atau outing keluarga

",5,neutral,neutral,neutral,Enjoy all these sights at the beautiful Camp Ciwangun... Recommended for hiking or family outings,15,"Camp Ciwangun is a scenic destination suitable for family outings, offering activities such as hiking and sightseeing."
8c1be594d96f408094b9e3f35ecef602,2022-12-23 17:58:40,Floating Market Lembang,"Waktu tahun 2015 kesana masih rame ya, tahun 2021 balik kesana sepi, yang dagang di airnya juga sedikit.. tapi banyak kenangan lah disana... tetep top lah semoga lekas pulih dan kembali rame 🙏🏻 …",4,neutral,neutral,neutral,"Back in 2015 when I went there, it was still crowded. In 2021, I went back and it was quiet, and there were few vendors on the water... but there are many memories there... still top-notch. I hope it recovers quickly and becomes crowded again 🙏🏻…",46,"This tourist attraction is currently quiet with low visitor traffic, a significant change from its previously crowded state. This has impacted activities, as there has been a noticeable reduction in the number of water-based vendors."
8c1f462033574d2da7690673a28f5aa1,2022-04-23 17:58:39,Floating Market Lembang,"Seru nih bisa ajak anak2 main ke floating market, khusunya ke kota mini...disini anak2 bisa latihan profesi..ada jadi chef, suster, pemadam kebakaran, polisi, dekor kue, salon dll, nah kalau utk chef atau yg profesinya bikin2 gtu..nanti hasil karyanya boleh dibawa, yg pasti anak2 excited bgt...emaknya juga😅 …",5,neutral,neutral,neutral,"It's exciting to bring the kids to play at the floating market, especially to the mini town... here the kids can practice professions... there's being a chef, nurse, firefighter, police officer, cake decorator, salon, etc. For chefs or professions that involve making things, the results of their work can be taken home. The kids are definitely very excited... and so are the moms 😅...",64,"This family-friendly floating market contains a ""mini town"" facility where children can participate in professional role-playing activities, such as being a chef, nurse, or firefighter. A key feature is that children can take home the items they create in certain professions."
8dc3c7b7be3f4482afdbe4702d20e572,2022-02-23 18:34:16,Orchid Forest Cikole,"Tempat wisata keluarga yang indah, asri, sejuk, dan rindang. Lokasi yang luas, bisa digunakan untuk kemping, sekedar jalan-jalan menikmati suasana hutan, flying fox, berfoto. Bagi yang ingin melaksanakan pernikahan di alam terbuka tempat ini sangat representatif.",5,neutral,positive,positive,"A beautiful, natural, cool, and shady family tourist destination. The spacious location can be used for camping, simply strolling to enjoy the forest atmosphere, flying fox, and taking photos. For those who wish to hold weddings in the open air, this place is very representative.",45,"This spacious, family-friendly natural site offers facilities for camping and outdoor weddings. Visitors can enjoy activities such as strolling through the forest, a flying fox, and photography."
8efefd6b3a24466286d8d4095ee09faf,2022-02-23 17:57:21,Floating Market Lembang,"Datang ke sini di weekday enak banget ya bisa bebas foto2 tanpa ada back ground orang banyak. Viewnya bagus2, semua lokasi bikin kita pgn foto2. Ada mbak2 yg bisa ambilin fotonya, jadi dia tau lokasi foto yg bagus2. Skr bayar 1 harga bisa masuk kesemua tempat spt rainbow garden, kota mini dll. Puas deh keliling2 disini",5,neutral,neutral,positive,"Coming here on a weekday is really nice, you can take photos freely without a lot of people in the background. The views are beautiful, every spot makes you want to take pictures. There are ladies who can take your photos, so they know the best photo locations. Now for one price, you can enter all the places like Rainbow Garden, Kota Mini, etc. I'm satisfied after wandering around here.",70,"This attraction, best visited on a weekday to avoid crowds, offers access to multiple areas like a Rainbow Garden and Kota Mini with a single ticket. The site is highly scenic, making photography a key activity, and offers a photo-taking service with staff who know the best locations."
9076b32a32a44fa1b8c0d6bd5bccdf35,2022-02-15 12:57:16,Kebun Begonia Lembang,"Udh lama gak k kebun begonia,hr ni ajak kluarga makin kerennnnn tempatnya, ....sayangnya bunga yg mau dibeli ternyata hbis. Makin bnyak jenis bunga. Harga bunga jg gak mahal lho kalau bli di situ. Tq",5,neutral,neutral,positive,"Haven't been to the begonia garden in a long time, today I brought the family, the place is even cooler.... unfortunately, the flowers I wanted to buy were sold out. More and more types of flowers. The flowers are also not expensive if you buy them there. Thanks",48,"The begonia garden is a family-friendly attraction with an expanding variety of flowers. It offers affordable plants for purchase on-site, though popular selections may sell out."
917974358e0241189c65a4faf6ade8eb,2022-02-23 17:57:03,Floating Market Lembang,"Jajan di atas perahu..ada banyak wahana dsini. Tiket masuk 30rb per orang. Masuk arena bermain anak2 klo mau masuk semua bayar 98rb. Playground,flying fox,kereta mini,becak. Klo untuk bermain d satu wahana aja. Bayar 25rb. Pokok nya dijamin puas klo kesini. Bisa nyewa kostum jepang,naik perahu naga,naik sepda air.",5,neutral,neutral,neutral,"Snacking on the boat... there are many rides here. Entrance fee is 30,000 per person. To enter the children's play area and experience all rides, it costs 98,000. Includes playground, flying fox, mini train, becak (pedicab). If you only want to play on one ride, it costs 25,000. You are guaranteed to be satisfied if you come here. You can rent Japanese costumes, ride the dragon boat, and ride the paddle boat.",72,"This tourist attraction features a general admission fee, with options to either pay per ride or purchase an all-inclusive pass for the children's play area. Facilities include a playground and Japanese costume rentals. Activities range from land-based rides like a flying fox and mini train to water activities such as dragon and paddle boat rides."
