id,datetime,location,text,rating,accessibility,facility,activity,english_translation,text_length,summary
c1ec316444c144758c2e1169fec69ac3,2020-02-23 18:22:32,Terminal Wisata Grafika Cikole,Tempat wisata alam yang bagus buat menumbuhkan kepercayaan diri pada anak,5,neutral,neutral,positive,A good nature tourist spot for building children's self-confidence,9,This nature-based attraction offers activities designed to build self-confidence in children.
c39c9587465740cf91942296b0a9bbe5,2019-02-15 12:24:45,Curug Tilu Leuwi Opat,"Curug tilu leuwi opat merupakan sebuah tempat wisata rekreasi alam berupa air terjun yang sangat indah.
Terletak di wilayah kabupaten bandung barat, dan sangat mudah jika anda ingin menemukan lokasinya.
Biaya masuknya pun sangat terjangkau, dan anda bisa melihat pemandangan alam berupa air terjun yang sangat indah.",5,positive,positive,positive,"Curug Tilu Leuwi Opat is a beautiful natural recreational tourist destination featuring a waterfall.
It is located in the West Bandung regency and is very easy to find.
The entrance fee is very affordable, and you can enjoy the beautiful natural scenery of the waterfall.",45,"The Curug Tilu Leuwi Opat waterfall is an easily located and affordable natural attraction, where the primary activity is enjoying the scenic environment."
c4bcca4baafe4b56830783bf620e705b,2020-02-15 14:15:43,Bukit Senyum,"Wisata alam kali ini menurut saya cukup bagus vieuwnya bwt foto2, liburan bersama keluarga sangat cocok tuk yg suka dgn alam, htm per/org 5rb, roda 4 5rb, roda 2 3rb
Jajanan juga standart ga main pukul.. hanya satu kekurangannya yaitu akses jalan menuju kesana masih rusak, klo naik motor harus hati2",3,negative,neutral,positive,"This nature tour, in my opinion, has pretty good views for photos. It's very suitable for family vacations for those who love nature. The entrance fee is IDR 5,000 per person, IDR 5,000 for four-wheeled vehicles, and IDR 3,000 for two-wheeled vehicles.

The snacks are also standard and not overpriced. The only drawback is that the road leading there is still damaged. If you're riding a motorcycle, you need to be careful.",72,"This nature attraction, ideal for families and photography, offers reasonably priced snacks. The main drawback is poor accessibility due to a damaged access road, which requires caution, particularly for motorcyclists."
c519b687b0a748cc85e6956b8297e6f5,2021-02-15 14:05:02,Curug Layung Camp Situ Lembang,"Sebelum ke curugnya, kita lewatin hutan pinus dulu yang jadi area untuk camping. Pemandangan menuju kebun teh sukawana. Ada monyet2 juga. Ada toilet dan warung, banyak spot foto. Disarankan untuk datang weekdays jika tidak ingin terlalu ramai banyak pengunjung.",5,neutral,positive,positive,"Before going to the waterfall, we pass through a pine forest that is also a camping area. The view leads to the Sukawana tea plantation. There are also monkeys. There are toilets and stalls, and many photo spots. It is recommended to come on weekdays if you don't want it to be too crowded with visitors.",56,"This attraction features a waterfall accessible via a pine forest that also serves as a camping area. The site provides facilities such as toilets, stalls, and designated photo spots. Activities include enjoying views of a tea plantation and observing monkeys, with a weekday visit recommended to avoid crowds."
c540439998b44f92ad16830ea8c8a39a,2019-02-15 13:48:53,Curug Maribaya,"Harga tiket masuknya tidak sesuai sama wahana di dalam, isinya cuman sedikit bahkan curugnya saja banyak sampah, untuk pemandian air panasnya terlalu mahal itu pun kotor, untuk foto pakai hp sendiri saja bayar :""). Tiap permainanya kemahalan. Saran, tempat di bersihkan wahananya tambahin dan jangan terlalu mahal",2,neutral,negative,neutral,"The entrance ticket price doesn't match the attractions inside. There's very little to see, and even the waterfall is full of trash. The hot springs are too expensive and dirty. You even have to pay to take photos with your own phone. Every ride is overpriced. My suggestion is to clean the place, add more attractions, and don't be too expensive.",61,"The attraction offers poor value due to limited, overpriced activities and poorly maintained facilities, including a dirty waterfall and hot springs. The review highlights excessive costs, from a high entrance fee to additional charges for rides and taking personal photos."
c6afd30817ba4dd4ba93919e43dd6fb6,2020-02-23 17:58:25,Floating Market Lembang,"Terdapat situ atau danau yang di sekeliling nya terdapat pedagang yang berjualan di atas perahu, pembeli/pengunjung bisa berjalan di tepi danau, di atas jembatan kayu, menaiki perahu, terdapat wahana nuansa Jepang, bisa sewa kimono atau busana Jepang bisa foto bareng cosplay samurai Jepang",5,neutral,neutral,neutral,"There is a lake or pond surrounded by vendors selling from their boats. Buyers/visitors can walk along the lake's edge, on wooden bridges, or take a boat ride. There are Japanese-themed attractions, and one can rent kimonos or Japanese attire, and take photos with Japanese samurai cosplayers.",47,"This attraction features a lake with a floating market that visitors can access by walking along pathways and bridges or by taking a boat ride. The site offers Japanese-themed activities, including the rental of traditional attire and opportunities for photos with cosplayers."
c6fbe8f0b42e4ed4993c955a403b1ac4,2022-02-15 14:09:25,Curug Cimahi / Curug Pelangi," 582 anak tangga, tetapi Anda juga memiliki air terjun yang besar! Bawalah sesuatu untuk diminum dan dimakan, karena cukup mendaki! Anda bisa memasukkan kaki Anda ke dalam air untuk memulihkan diri. Sangat sepi, sedikit turis, dan beberapa monyet sebagai pelengkap. Banyak bersenang-senang!

",5,neutral,neutral,neutral,"582 steps, but you also have a huge waterfall! Bring something to drink and eat, as it's quite a climb! You can put your feet in the water to recover. Very quiet, few tourists, and some monkeys to complete the scene. Have lots of fun!",45,"This tourist attraction features a large waterfall accessible via a strenuous, 582-step climb. Visitors should bring their own food and water, as facilities are not mentioned. Activities at the quiet, uncrowded site include cooling off in the water and wildlife viewing."
c809e9a27f984e0f83dbb73d101966ed,2021-02-15 14:05:07,Curug Layung Camp Situ Lembang,"Asri ...bisa bwt camp jg ..asik lah bikin acara d sini selain olahraga bwt sehat jg ..anak anak pun bebas beraktifitas ..curug nya masih asri,alangkah lebih baik d kelola bwt tempat menunggu ..ya seperti saung saung ..tp enak loh hiking d sini",5,neutral,neutral,positive,"Asri... can also be used for camping... it's fun to hold events here, besides exercising for health... the children are also free to be active... the waterfall is still natural, it would be even better if it were managed for a waiting area... like gazebos... but hiking here is nice",50,"This natural site is suitable for various recreational activities, including hiking, camping, and family events. While it offers a pleasant hiking experience and a natural waterfall, it lacks developed facilities such as gazebos or managed waiting areas."
ca30522530e94817896371c7451e1d40,2020-02-15 13:29:27,Stone Garden,"Tempat sedikit kurang Terawat,  akses masuk jln sedikit jelek .  Papan petunjuk kurang jelas dan kecil terlebih petunjuk lokasi berada tepat di tikungan

FYI, ada 2 jalan masuk. lewat gua pawon atau langsung ke stone garden",4,negative,negative,neutral,"The place is a bit less maintained, the road access is a bit bad. The signs are unclear and small, especially the location sign which is right at the turn.

FYI, there are 2 entrances. via Pawon Cave or directly to Stone Garden.",43,"Access to this poorly maintained attraction is challenging due to bad roads and small, unclear signage. Visitors should note there are two entrances: one via Pawon Cave and another directly to the Stone Garden."
ca53bcc36f374b6f9e8be0fd1a99cac6,2022-02-15 12:24:42,Curug Tilu Leuwi Opat,"tempatnya bagus, tapi sudah tidak terawat. arena bermain nya sudah banyak karat dan terbengkalai. untuk curugnya sendiri tergolong lumayan bagus. airnya fresh, pemandangan nya oke. cuman kalo bulan puasa tempatnya sepi bangettt~~ sebenernya banyak yg jualan makanan tp pada tutup. biaya masuknya 15k/org sama parkir motor 2k",4,neutral,negative,positive,"The place is nice, but it's no longer well-maintained. The playground is very rusty and abandoned. The waterfall itself is quite good. The water is fresh, and the view is okay. It's just that during Ramadan, the place is extremely quiet~~ Actually, there are many food vendors, but they are all closed. The entrance fee is 15k/person and motorcycle parking is 2k.",62,"The main attraction is a pleasant waterfall, though the site itself is poorly maintained. Facilities include a derelict, rusty playground and food vendors that may be closed seasonally, such as during Ramadan. Access requires a 15k entrance fee per person and a 2k fee for motorcycle parking."
